AAV2020;LOG_SOCIAUX;LOG_TOTAL;PCT_SOCIAUX
491;430.94374;4044.71379;10.65
102;6769.11807;63658.20718;10.63
294;1431.12357;13491.95269;10.61
051;15497.33633;146317.58212;10.59
487;514.38148;4863.38304;10.58
085;8071.18443;76389.76243;10.57
623;276.91983;2632.61491;10.52
674;145.31305;1386.21115;10.48
554;432.7936;4129.08324;10.48
307;1333.11023;12759.69584;10.45
122;4648.52437;44485.93266;10.45
043;16455.36385;157689.1749;10.44
572;425.62701;4081.24128;10.43
LAU;1032.38501;9893.89953;10.43
096;5652.42062;54366.89673;10.4
328;1167.19642;11239.41837;10.38
9D2;10635.85244;102635.06551;10.36
423;918.96113;8879.57256;10.35
223;1966.90676;19007.88097;10.35
193;2451.8629;23716.8788;10.34
LUX;15655.06704;151524.73755;10.33
032;20851.17611;202279.06322;10.31
274;1321.28132;12870.75575;10.27
565;367.97083;3588.64392;10.25
481;552.45779;5399.62967;10.23
494;461.73524;4511.93785;10.23
422;769.93031;7541.81504;10.21
585;300.65742;2944.11344;10.21
191;2353.94527;23048.27326;10.21
GEN;23740.47347;233548.89293;10.17
066;8516.09031;83805.26772;10.16
346;1035.86857;10197.98666;10.16
362;783.41657;7711.42681;10.16
507;472.30625;4673.34832;10.11
520;420.19814;4186.40387;10.04
185;2677.12046;26667.69356;10.04
088;9831.37719;98460.73039;9.99
005;77478.55063;776469.2333;9.98
208;2314.81429;23232.64818;9.96
9A2;2894.95337;29128.92156;9.94
107;5228.38967;52836.3129;9.9
356;755.16568;7669.52352;9.85
037;17776.54227;181005.89534;9.82
428;648.76941;6658.31114;9.74
196;2491.09065;25602.39474;9.73
049;12700.54002;130473.88956;9.73
338;977.5949;10059.10122;9.72
504;405.65872;4240.33604;9.57
590;371.07902;3886.14697;9.55
234;1679.30285;17593.61918;9.54
252;1659.39714;17455.05481;9.51
230;1764.41135;18625.5763;9.47
308;1053.73951;11145.86045;9.45
267;1452.3678;15380.55318;9.44
397;696.53119;7394.70199;9.42
336;924.86347;9823.37334;9.41
470;543.394;5781.29707;9.4
415;774.5982;8254.06336;9.38
403;814.95693;8727.78078;9.34
610;295.52372;3170.34159;9.32
187;2464.00469;26582.05937;9.27
648;220.81523;2381.63563;9.27
171;2639.39464;28579.3791;9.24
