GEO;GEO_OBJECT;OCS;L_STAY;TDW;TOH;CARS;RP_MEASURE;CARPARK;NOR;TSH;BUILD_END;TIME_PERIOD;OBS_VALUE
135;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;4292.86368
136;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;6030.11718
137;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;2693.75678
138;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;4217.85992
139;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;2185.85466
140;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;2775.37872
141;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;4027.38748
142;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;4036.1271
143;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;2285.84083
144;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;6204.3677
145;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;2614.51134
146;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;4810.06905
147;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;2781.51552
148;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;2509.959
149;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;2610.09765
150;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;4951.19053
151;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;4245.76634
152;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;2103.50616
153;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;2695.55332
154;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;1238.58908
155;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;2049.03289
156;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;4716.68807
157;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;4124.18866
158;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;1386.02432
159;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;2677.47142
160;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;5191.92982
161;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;2747.44632
162;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;4528.84627
163;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;3631.91376
164;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;4148.80638
165;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;2966.84768
166;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;1933.04557
167;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;4467.11019
168;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;6211.84801
169;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;2236.94123
170;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;610.64024
171;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;2639.39464
172;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;3284.59708
173;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;1324.00316
174;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;2428.50195
175;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;1266.61708
176;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;4568.15644
177;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;3304.20819
178;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;2933.61334
179;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;2249.10153
180;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;934.84856
181;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;1394.73651
182;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;3184.53385
183;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;4991.82869
184;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;5029.48203
185;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;2677.12046
186;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;2302.05099
187;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;2464.00469
188;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;1184.65495
189;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;1614.69171
